1, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.0 in., 50.2 in., 42.3 in., 55.6 in., 51.7 in., 35.9 in., 34.0 in., 53.5 in.,5 ft. 10.6 in. (70.6 in.),4 ft. 7.6 in. (55.6 in.),14 ft. 11.1 in. (179.1 in.),8 ft. 9.1 in. (105.1 in.),,,, 101.6 cu.ft., 2955 lbs., 12.3 cu.ft.,,,,,,,, 2.0 L, Single overhead cam (SOHC), Inline 4,16, Variable, 140 ft-lbs. @ 4300 rpm, 150 hp @ 6500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 5-speed shiftable automatic
12, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,, 5 yr./ 100000 mi.,,,,,,,,,,,,,,,7 ft. 9.7 in. (93.7 in.),,,0 ft. 4.4 in. (4.4 in.),,,,,,,,,,, 1.7 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 2200 rpm, 237 hp @ 6000 rpm, 40.5 ft., Gas, Premium unleaded (required), 10.5 gal., 252.0/357.0 mi., 24/34 mpg, Rear wheel drive, 6-speed automated manual
13, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,, 5 yr./ 100000 mi.,,,,,,,,,,,,,,,7 ft. 9.7 in. (93.7 in.),,,0 ft. 4.4 in. (4.4 in.),, 2487 lbs., 3.7 cu.ft.,,,,, 2840 lbs.,,, 1.7 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 2200 rpm, 237 hp @ 6000 rpm, 40.5 ft., Gas, Premium unleaded (required), 10.5 gal., 252.0/357.0 mi., 24/34 mpg, Rear wheel drive, 6-speed automated manual
14, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,, 5 yr./ 100000 mi.,,,,,,,,,,,,,,,7 ft. 9.7 in. (93.7 in.),,,0 ft. 4.5 in. (4.5 in.),,,,,,,,,,, 1.7 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 2200 rpm, 237 hp @ 6000 rpm, 40.5 ft., Gas, Premium unleaded (required), 10.5 gal., 252.0/357.0 mi., 24/34 mpg, Rear wheel drive, 6-speed automated manual
15, 4 yr./ 50000 mi., 4 yr./ 50000 mi.,, 5 yr./ 100000 mi.,,,,,,,,,,,,,,,7 ft. 9.7 in. (93.7 in.),,,0 ft. 4.5 in. (4.5 in.),, 2465 lbs., 3.7 cu.ft.,,,,, 2840 lbs.,,, 1.7 L, Double overhead cam (DOHC), Inline 4,16, Variable, 258 ft-lbs. @ 2200 rpm, 237 hp @ 6000 rpm, 40.5 ft., Gas, Premium unleaded (required), 10.5 gal., 252.0/357.0 mi., 24/34 mpg, Rear wheel drive, 6-speed automated manual
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48,,,,, Gas, Premium unleaded (required), 20.6 gal., 267.8/391.4 mi., 13/19 mpg, Rear wheel drive, 6-speed shiftable automatic
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48,,,,, Gas, Premium unleaded (required), 20.6 gal., 267.8/391.4 mi., 13/19 mpg, Rear wheel drive, 6-speed shiftable automatic
18,,,,,,,,,,,,,,,,,,,,,,, 83.0 cu.ft., 3935 lbs., 5.0 cu.ft.,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48,,,,, Gas, Premium unleaded (required), 20.6 gal., 267.8/391.4 mi., 13/19 mpg, Rear wheel drive, 6-speed shiftable automatic
19,,,,,,,,,,,,,,,,,,,,,,, 83.0 cu.ft., 3935 lbs., 5.0 cu.ft.,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48,,,,, Gas, Premium unleaded (required), 20.6 gal., 267.8/391.4 mi., 13/19 mpg, Rear wheel drive, 6-speed shiftable automatic
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48,,,,, Gas, Premium unleaded (required), 20.6 gal., 267.8/391.4 mi., 13/19 mpg, Rear wheel drive, 6-speed shiftable automatic
21,,,,,,,,,,,,,,,,,,,,,,, 83.0 cu.ft., 3935 lbs., 5.0 cu.ft.,,,,,,,, 5.9 L, Double overhead cam (DOHC), V12,48,,,,, Gas, Premium unleaded (required), 20.6 gal., 267.8/391.4 mi., 13/19 mpg, Rear wheel drive, 6-speed shiftable automatic
