1, 4 yr./ 50000 mi., 6 yr./ 70000 mi., 4 yr./ 50000 mi.,,,,, 38.0 in., 50.2 in., 42.3 in., 55.6 in., 51.7 in., 35.9 in., 34.0 in., 53.5 in.,5 ft. 10.6 in. (70.6 in.),4 ft. 7.6 in. (55.6 in.),14 ft. 11.1 in. (179.1 in.),8 ft. 9.1 in. (105.1 in.),,,, 101.6 cu.ft., 2955 lbs., 12.3 cu.ft.,,,,,,,, 2.0 L, Single overhead cam (SOHC), Inline 4,16, Variable, 140 ft-lbs. @ 4300 rpm, 150 hp @ 6500 rpm, 36.1 ft., Gas, Premium unleaded (recommended), 13.2 gal., 316.8/462.0 mi., 24/35 mpg, Front wheel drive, 5-speed shiftable automatic
259, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 7.2 in. (79.2 in.),7 ft. 0.6 in. (84.6 in.),18 ft. 8.1 in. (224.1 in.),,,,,,,, 10000 lbs.,,, 270.4 cu.ft.,,,, 6.6 L, Overhead valves (OHV), V8,32,,,,,, Diesel fuel, 31.0 gal., N/A,, Rear wheel drive, 6-speed automatic
260, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 7.2 in. (79.2 in.),7 ft. 0.6 in. (84.6 in.),18 ft. 8.1 in. (224.1 in.),,,,,,,, 10000 lbs.,,, 270.4 cu.ft.,,,, 6.6 L, Overhead valves (OHV), V8,32,,,,,, Diesel fuel, 31.0 gal., N/A,, Rear wheel drive, 6-speed automatic
261, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 7.2 in. (79.2 in.),7 ft. 0.6 in. (84.6 in.),18 ft. 8.1 in. (224.1 in.),,,,,,,, 10000 lbs.,,, 270.4 cu.ft.,,,, 4.8 L, Overhead valves (OHV), V8,16, Variable, 295 ft-lbs. @ 4600 rpm, 285 hp @ 5400 rpm, 49.2 ft.,, Flex-fuel (unleaded/E85), 31.0 gal., N/A,, Rear wheel drive, 6-speed automatic
262, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 7.2 in. (79.2 in.),7 ft. 0.6 in. (84.6 in.),18 ft. 8.1 in. (224.1 in.),,,,,,,, 10000 lbs.,,, 270.4 cu.ft.,,,, 4.8 L, Overhead valves (OHV), V8,16, Variable, 295 ft-lbs. @ 4600 rpm, 285 hp @ 5400 rpm, 49.2 ft.,, Flex-fuel (unleaded/E85), 31.0 gal., N/A,, Rear wheel drive, 6-speed automatic
263, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 39.9 in., 54.9 in., 45.8 in., 57.9 in., 54.1 in., 37.4 in., 39.8 in., 56.9 in.,6 ft. 1 in. (73 in.),4 ft. 10.9 in. (58.9 in.),16 ft. 9.3 in. (201.3 in.),9 ft. 3.7 in. (111.7 in.),,,,,, 18.8 cu.ft., 1000 lbs.,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable, 187 ft-lbs. @ 4400 rpm, 195 hp @ 6300 rpm, 38.8 ft., Gas, Regular unleaded, 18.5 gal., 388.5/573.5 mi., 21/31 mpg, Front wheel drive, 6-speed shiftable automatic
264, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 39.9 in., 54.9 in., 45.8 in., 57.9 in., 54.1 in., 37.4 in., 39.8 in., 56.9 in.,6 ft. 1 in. (73 in.),4 ft. 10.9 in. (58.9 in.),16 ft. 9.3 in. (201.3 in.),9 ft. 3.7 in. (111.7 in.),,,,,, 18.8 cu.ft., 1000 lbs.,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable, 187 ft-lbs. @ 4400 rpm, 195 hp @ 6300 rpm, 38.8 ft., Gas, Regular unleaded, 18.5 gal., 407.0/573.5 mi., 22/31 mpg, Front wheel drive, 6-speed shiftable automatic
265, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 39.1 in., 54.1 in., 42.0 in., 58.5 in., 53.4 in., 37.5 in., 38.1 in., 57.1 in.,6 ft. 1 in. (73 in.),4 ft. 9.6 in. (57.6 in.),16 ft. 1.8 in. (193.8 in.),9 ft. 3.4 in. (111.4 in.),,,, 114.5 cu.ft., 3457 lbs., 11.6 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable,,,, Hybrid, Regular unleaded, 13.0 gal., 611.0/598.0 mi., 47/46 mpg, Front wheel drive, 2-speed
266, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 39.0 in., 55.0 in., 42.1 in., 57.5 in., 54.3 in., 37.5 in., 36.8 in., 57.1 in.,6 ft. 1 in. (73 in.),4 ft. 9.6 in. (57.6 in.),15 ft. 11.5 in. (191.5 in.),8 ft. 11.8 in. (107.8 in.),,,, 116.0 cu.ft., 3393 lbs., 16.3 cu.ft.,,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable, 191 ft-lbs. @ 4400 rpm, 196 hp @ 6300 rpm, 37.4 ft., Gas, Regular unleaded, 15.8 gal., 395.0/568.8 mi., 25/36 mpg, Front wheel drive, 6-speed shiftable automatic
267, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 39.1 in., 54.1 in., 42.0 in., 58.5 in., 53.4 in., 37.5 in., 38.1 in., 57.1 in.,6 ft. 1 in. (73 in.),4 ft. 9.6 in. (57.6 in.),16 ft. 1.8 in. (193.8 in.),9 ft. 3.4 in. (111.4 in.),,,, 118.7 cu.ft., 3086 lbs., 15.8 cu.ft.,,,,,,,, 1.5 L, Double overhead cam (DOHC), Inline 4,16, Variable, 250 ft-lbs. @ 2500 rpm, 163 hp @ 5700 rpm, 37.0 ft., Gas, Regular unleaded, 13.0 gal., 351.0/481.0 mi., 27/37 mpg, Front wheel drive, 6-speed shiftable automatic
268, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 39.0 in., 55.0 in., 42.1 in., 57.5 in., 54.3 in., 37.5 in., 36.8 in., 57.1 in.,6 ft. 1 in. (73 in.),4 ft. 9.6 in. (57.6 in.),15 ft. 11.5 in. (191.5 in.),8 ft. 11.8 in. (107.8 in.),,,, 116.0 cu.ft.,,,,,,,,,, 2.5 L, Double overhead cam (DOHC), Inline 4,16, Variable, 191 ft-lbs. @ 4400 rpm, 197 hp @ 6300 rpm, 37.4 ft., Gas, Regular unleaded, 15.8 gal., 379.2/537.2 mi., 24/34 mpg, Front wheel drive, 6-speed shiftable automatic
269, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 66.0 in., 60.3 in., 40.5 in., 40.9 in., 65.7 in.,6 ft. 8 in. (80 in.),6 ft. 2.2 in. (74.2 in.),19 ft. 2 in. (230 in.),,,,,,,,,,,,,,, 4.3 L, Overhead valves (OHV), V6,12, Variable, 305 ft-lbs. @ 3900 rpm, 285 hp @ 5300 rpm, 47.2 ft.,, Flex-fuel (unleaded/E85), 26.0 gal., 468.0/624.0 mi., 18/24 mpg, Rear wheel drive, 6-speed shiftable automatic
270, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 66.0 in., 60.3 in., 40.5 in., 40.9 in., 65.7 in.,6 ft. 8 in. (80 in.),6 ft. 2.2 in. (74.2 in.),19 ft. 2 in. (230 in.),,,,,,,,,,,,,,, 4.3 L, Overhead valves (OHV), V6,12, Variable, 305 ft-lbs. @ 3900 rpm, 285 hp @ 5300 rpm, 47.2 ft.,, Flex-fuel (unleaded/E85), 26.0 gal., 468.0/624.0 mi., 18/24 mpg, Rear wheel drive, 6-speed shiftable automatic
271, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 65.9 in., 60.2 in., 38.7 in., 34.6 in., 65.8 in.,6 ft. 8 in. (80 in.),6 ft. 1.9 in. (73.9 in.),19 ft. 2 in. (230 in.),,,,,,,,,,,,,,, 4.3 L, Overhead valves (OHV), V6,12, Variable, 305 ft-lbs. @ 3900 rpm, 285 hp @ 5300 rpm, 46.9 ft.,, Flex-fuel (unleaded/E85), 26.0 gal., 468.0/624.0 mi., 18/24 mpg, Rear wheel drive, 6-speed shiftable automatic
272, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 65.9 in., 60.2 in., 38.7 in., 34.6 in., 65.8 in.,6 ft. 8 in. (80 in.),6 ft. 1.9 in. (73.9 in.),19 ft. 2 in. (230 in.),,,,,,,,,,,,,,, 4.3 L, Overhead valves (OHV), V6,12, Variable, 305 ft-lbs. @ 3900 rpm, 285 hp @ 5300 rpm, 46.9 ft.,, Flex-fuel (unleaded/E85), 26.0 gal., 468.0/624.0 mi., 18/24 mpg, Rear wheel drive, 6-speed shiftable automatic
273, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 8 in. (80 in.),6 ft. 2 in. (74 in.),17 ft. 1.6 in. (205.6 in.),,,,,,,,,,,,,,, 4.3 L, Overhead valves (OHV), V6,12, Variable, 305 ft-lbs. @ 3900 rpm, 285 hp @ 5300 rpm, 40.0 ft.,, Flex-fuel (unleaded/E85), 26.0 gal., 468.0/624.0 mi., 18/24 mpg, Rear wheel drive, 6-speed shiftable automatic
274, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 8 in. (80 in.),6 ft. 2 in. (74 in.),17 ft. 1.6 in. (205.6 in.),,,,,,,,,,,,,,, 4.3 L, Overhead valves (OHV), V6,12, Variable, 305 ft-lbs. @ 3900 rpm, 285 hp @ 5300 rpm, 40.0 ft.,, Flex-fuel (unleaded/E85), 26.0 gal., 468.0/624.0 mi., 18/24 mpg, Rear wheel drive, 6-speed shiftable automatic
275, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 64.8 in., 60.2 in., 40.5 in., 40.9 in., 64.3 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 6.3 in. (78.3 in.),19 ft. 11.5 in. (239.5 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 51.5 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
276, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 64.8 in., 60.2 in., 40.5 in., 40.9 in., 64.3 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 6.3 in. (78.3 in.),19 ft. 11.5 in. (239.5 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 51.5 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
277, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 64.8 in., 60.2 in., 38.7 in., 34.6 in., 64.3 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 6.1 in. (78.1 in.),19 ft. 2 in. (230 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 49.2 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
278, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 64.8 in., 60.2 in., 38.7 in., 34.6 in., 64.3 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 6.1 in. (78.1 in.),19 ft. 2 in. (230 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 49.2 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
279, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 8.1 in. (80.1 in.),6 ft. 5.8 in. (77.8 in.),18 ft. 8.4 in. (224.4 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 45.9 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
280, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 8.1 in. (80.1 in.),6 ft. 5.8 in. (77.8 in.),18 ft. 8.4 in. (224.4 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 45.9 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
281, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 64.8 in., 60.2 in., 40.5 in., 40.9 in., 64.3 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 6.4 in. (78.4 in.),19 ft. 11.5 in. (239.5 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 51.8 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
282, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.7 in., 45.3 in., 64.8 in., 60.2 in., 40.5 in., 40.9 in., 64.3 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 6.4 in. (78.4 in.),19 ft. 11.5 in. (239.5 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 51.8 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
283, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.8 in., 45.3 in., 64.8 in., 60.2 in., 38.7 in., 34.7 in., 64.3 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 6 in. (78 in.),20 ft. 8.9 in. (248.9 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 53.1 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
284, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.8 in., 45.3 in., 64.8 in., 60.2 in., 38.7 in., 34.7 in., 64.3 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 6 in. (78 in.),20 ft. 8.9 in. (248.9 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 53.1 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
285, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 8.1 in. (80.1 in.),6 ft. 5.8 in. (77.8 in.),18 ft. 8.4 in. (224.4 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 45.9 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
286, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,,,,,,,,,,6 ft. 8.1 in. (80.1 in.),6 ft. 5.8 in. (77.8 in.),18 ft. 8.4 in. (224.4 in.),,,,,,,,,,,,,,, 6.0 L, Overhead valves (OHV), V8,16, Variable, 380 ft-lbs. @ 4200 rpm, 360 hp @ 5400 rpm, 45.9 ft.,, Flex-fuel (unleaded/E85), 36.0 gal., N/A,, Rear wheel drive, 6-speed shiftable automatic
287, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 38.7 in., 51.4 in., 41.8 in., 53.4 in., 51.6 in., 38.1 in., 34.6 in., 53.0 in.,5 ft. 8.3 in. (68.3 in.),4 ft. 11.7 in. (59.7 in.),13 ft. 3 in. (159 in.),8 ft. 3.4 in. (99.4 in.),,,, 109.6 cu.ft., 2690 lbs., 19.0 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 125 ft-lbs. @ 3800 rpm, 138 hp @ 6300 rpm, 34.5 ft., Gas, Regular unleaded, 12.2 gal., 317.2/427.0 mi., 26/35 mpg, Front wheel drive, 5-speed manual
288, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 38.7 in., 51.4 in., 41.8 in., 53.4 in., 51.6 in., 38.1 in., 34.6 in., 53.0 in.,5 ft. 8.3 in. (68.3 in.),4 ft. 11.7 in. (59.7 in.),13 ft. 3 in. (159 in.),8 ft. 3.4 in. (99.4 in.),,,, 109.6 cu.ft., 2720 lbs., 19.0 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 125 ft-lbs. @ 3800 rpm, 138 hp @ 6300 rpm, 34.5 ft., Gas, Regular unleaded, 12.2 gal., 317.2/427.0 mi., 26/35 mpg, Front wheel drive, 5-speed manual
289, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 38.7 in., 51.4 in., 41.8 in., 53.4 in., 51.6 in., 37.8 in., 34.6 in., 53.0 in.,5 ft. 8.3 in. (68.3 in.),4 ft. 11.7 in. (59.7 in.),14 ft. 5.1 in. (173.1 in.),8 ft. 3.4 in. (99.4 in.),,,, 105.2 cu.ft., 2727 lbs., 14.9 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 125 ft-lbs. @ 3800 rpm, 138 hp @ 6300 rpm, 34.5 ft., Gas, Regular unleaded, 12.2 gal., 317.2/427.0 mi., 26/35 mpg, Front wheel drive, 5-speed manual
290, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 38.7 in., 51.4 in., 41.8 in., 53.4 in., 51.6 in., 37.8 in., 34.6 in., 53.0 in.,5 ft. 8.3 in. (68.3 in.),4 ft. 11.7 in. (59.7 in.),14 ft. 5.1 in. (173.1 in.),8 ft. 3.4 in. (99.4 in.),,,, 105.2 cu.ft., 2733 lbs., 14.9 cu.ft.,,,,,,,, 1.8 L, Double overhead cam (DOHC), Inline 4,16, Variable, 125 ft-lbs. @ 3800 rpm, 138 hp @ 6300 rpm, 34.5 ft., Gas, Regular unleaded, 12.2 gal., 317.2/427.0 mi., 26/35 mpg, Front wheel drive, 5-speed manual
291, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 39.4 in., 48.0 in., 42.0 in., 50.7 in., 47.5 in., 37.3 in., 35.2 in., 49.7 in.,5 ft. 2.9 in. (62.9 in.),5 ft. 1 in. (61 in.),12 ft. 0.7 in. (144.7 in.),7 ft. 9.5 in. (93.5 in.),,,, 97.7 cu.ft., 2269 lbs., 11.4 cu.ft.,,,,,,,, 1.2 L, Double overhead cam (DOHC), Inline 4,16, Variable, 83 ft-lbs. @ 4200 rpm, 84 hp @ 6400 rpm, 32.5 ft., Gas, Regular unleaded, 9.2 gal., 285.2/358.8 mi., 31/39 mpg, Front wheel drive, 5-speed manual
292, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 39.0 in., 48.2 in., 41.7 in., 50.8 in., 48.0 in., 37.0 in., 33.0 in., 49.8 in.,5 ft. 2.8 in. (62.8 in.),4 ft. 10.4 in. (58.4 in.),11 ft. 11.1 in. (143.1 in.),7 ft. 9.9 in. (93.9 in.),,,, 94.1 cu.ft., 2246 lbs., 11.1 cu.ft.,,,,,,,, 1.4 L, Double overhead cam (DOHC), Inline 4,16, Variable, 94 ft-lbs. @ 4400 rpm, 98 hp @ 6200 rpm, 34.5 ft., Gas, Regular unleaded, 9.0 gal., 270.0/369.0 mi., 30/41 mpg, Front wheel drive, 5-speed manual
293, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,,,, 8 yr./ 100000 mi., 39.4 in., 48.0 in., 42.0 in., 50.7 in., 47.5 in., 37.3 in., 35.2 in., 49.7 in.,5 ft. 4 in. (64 in.),5 ft. 2.6 in. (62.6 in.),12 ft. 2.5 in. (146.5 in.),7 ft. 9.5 in. (93.5 in.),,,,,,,,,,,,,,,,,,,,,, Electric,,,,, Front wheel drive, 1-speed direct drive
294, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,,,, 8 yr./ 100000 mi., 39.4 in., 48.0 in., 42.0 in., 50.7 in., 47.5 in., 37.3 in., 35.2 in., 49.7 in.,5 ft. 4 in. (64 in.),5 ft. 2.6 in. (62.6 in.),12 ft. 2.5 in. (146.5 in.),7 ft. 9.5 in. (93.5 in.),,,, 95.9 cu.ft., 2866 lbs., 9.6 cu.ft.,,,,,,,,,,,,,,,, Electric,,,,, Front wheel drive, 1-speed direct drive
295, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 38.7 in., 57.2 in., 42.3 in., 59.1 in., 58.0 in., 37.5 in., 39.7 in., 59.0 in.,6 ft. 2.7 in. (74.7 in.),4 ft. 9.9 in. (57.9 in.),16 ft. 3.5 in. (195.5 in.),9 ft. 6.8 in. (114.8 in.),,,,,,,,,,,,,, 6.2 L, Overhead valves (OHV), V8,16,,,,, Gas, Premium unleaded (recommended), 18.8 gal., 263.2/394.8 mi., 14/21 mpg, Rear wheel drive, 6-speed shiftable automatic
296, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 38.7 in., 57.2 in., 42.3 in., 59.1 in., 58.0 in., 37.5 in., 39.7 in., 59.0 in.,6 ft. 2.7 in. (74.7 in.),4 ft. 9.9 in. (57.9 in.),16 ft. 3.5 in. (195.5 in.),9 ft. 6.8 in. (114.8 in.),,,, 123.3 cu.ft., 3975 lbs., 16.4 cu.ft.,,,,,,,, 6.2 L, Overhead valves (OHV), V8,16,,,,, Gas, Premium unleaded (recommended), 18.8 gal., 263.2/376.0 mi., 14/20 mpg, Rear wheel drive, 6-speed shiftable automatic
297, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.8 in., 45.3 in., 64.8 in., 60.3 in., 39.1 in., 39.7 in., 65.1 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 2.4 in. (74.4 in.),18 ft. 8 in. (224 in.),,,,,,,, 8300 lbs.,,, 121.1 cu.ft.,,,, 5.3 L, Overhead valves (OHV), V8,16, Variable, 383 ft-lbs. @ 4100 rpm, 355 hp @ 5600 rpm, 43.0 ft.,, Flex-fuel (unleaded/E85), 31.0 gal., 496.0/713.0 mi., 16/23 mpg, Rear wheel drive, 6-speed shiftable automatic
298, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.8 in., 45.3 in., 64.8 in., 60.3 in., 39.1 in., 39.7 in., 65.1 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 2.4 in. (74.4 in.),18 ft. 8.4 in. (224.4 in.),,,,,,,, 8300 lbs.,,,,,,, 5.3 L, Overhead valves (OHV), V8,16, Variable, 383 ft-lbs. @ 4100 rpm, 355 hp @ 5600 rpm, 43.0 ft.,, Flex-fuel (unleaded/E85), 31.0 gal., 496.0/713.0 mi., 16/23 mpg, Rear wheel drive, 6-speed shiftable automatic
299, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.8 in., 45.3 in., 64.8 in., 60.3 in., 38.7 in., 39.0 in., 65.1 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 2.4 in. (74.4 in.),17 ft. 0 in. (204 in.),,,,,,,, 8500 lbs.,,, 94.7 cu.ft.,,,, 5.3 L, Overhead valves (OHV), V8,16, Variable, 383 ft-lbs. @ 4100 rpm, 355 hp @ 5600 rpm, 39.0 ft.,, Flex-fuel (unleaded/E85), 26.0 gal., 416.0/598.0 mi., 16/23 mpg, Rear wheel drive, 6-speed shiftable automatic
300, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 42.8 in., 60.8 in., 45.3 in., 64.8 in., 60.3 in., 38.7 in., 39.0 in., 65.1 in.,6 ft. 8.5 in. (80.5 in.),6 ft. 2.4 in. (74.4 in.),17 ft. 0 in. (204 in.),,,,,,,, 8600 lbs.,,,,,,, 5.3 L, Overhead valves (OHV), V8,16, Variable, 383 ft-lbs. @ 4100 rpm, 355 hp @ 5600 rpm, 39.0 ft.,, Flex-fuel (unleaded/E85), 26.0 gal., 416.0/598.0 mi., 16/23 mpg, Rear wheel drive, 6-speed shiftable automatic
301, 3 yr./ 36000 mi., 5 yr./ 100000 mi.,,, 2 yr./ 24000 mi.,,, 40.4 in., 58.0 in., 41.3 in., 61.5 in., 57.8 in., 39.4 in., 36.8 in., 61.0 in.,6 ft. 6.5 in. (78.5 in.),5 ft. 9.9 in. (69.9 in.),16 ft. 11.7 in. (203.7 in.),,,,,,,, 5200 lbs.,,, 116.3 cu.ft.,,,, 3.6 L, Double overhead cam (DOHC), V6,24, Variable, 266 ft-lbs. @ 3400 rpm, 281 hp @ 6300 rpm, 40.4 ft., Gas, Regular unleaded, 22.0 gal., 374.0/528.0 mi., 17/24 mpg, Front wheel drive, 6-speed shiftable automatic
302, 3 yr./ 36000 mi., 5 yr./ 60000 mi.,,, 2 yr./ 24000 mi.,,, 40.4 in., 58.0 in., 41.3 in., 61.5 in., 57.8 in., 39.4 in., 36.8 in., 61.0 in.,6 ft. 6.5 in. (78.5 in.),5 ft. 9.9 in. (69.9 in.),16 ft. 11.7 in. (203.7 in.),,,,,,,, 5200 lbs.,,, 116.3 cu.ft.,,,, 3.6 L, Double overhead cam (DOHC), V6,24, Variable, 266 ft-lbs. @ 3400 rpm, 281 hp @ 6300 rpm, 40.4 ft., Gas, Regular unleaded, 22.0 gal., 374.0/528.0 mi., 17/24 mpg, Front wheel drive, 6-speed shiftable automatic
